geo_code1,geo_code2,all,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02002417,E02001876,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,144323.251839,0,0,1
E02002417,E02001958,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,144279.707259,0,0,1
E02002432,E02001995,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,151093.538064,0,0,1
E02002432,E02002033,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,150898.303224,0,0,1
E02002432,E02002133,0.095656,0,0,0,0.095656,0,0,0,0,0,0,0,134705.980533,0,0,0
E02002417,E02002184,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,36177.815523,0,0,1
E02002417,E02002190,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,38118.249552,0,0,1
E02002432,E02002193,0.095656,0,0,0,0.095656,0,0,0,0,0,0,0,38431.257321,0,0,0
E02002432,E02002195,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,29436.259154,0,0,1
E02002417,E02002197,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,32936.568522,0,0,1
E02002432,E02002200,0.095656,0,0,0.095656,0,0,0,0,0,0,0,0,30527.962931,0,0,0
E02002417,E02002201,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,26097.488343,0,0,1
E02002417,E02002202,0.47828,0,0,0,0,0,0,0.47828,0,0,0,0,29450.219911,0,0,1
E02002432,E02002209,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,24500.116786,0,0,1
E02002432,E02002212,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,30626.835443,0,0,1
E02002432,E02002213,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,35994.435329,0,0,1
E02002432,E02002216,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,27857.501316,0,0,1
E02002432,E02002217,0.095656,0,0,0,0.095656,0,0,0,0,0,0,0,25569.329943,0,0,0
E02002417,E02002219,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,28889.081697,0,0,1
E02002417,E02002220,0.669592,0,0,0.095656,0,0,0,0.573936,0,0,0,0,24090.588177,0,0,0.857143
E02002417,E02002221,2.965337,0,0,1.339184,0,0,0,1.530497,0,0,0.095656,0,26055.751597,0.032258,0,0.516129
E02002417,E02002222,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,30004.045784,0,0,1
E02002432,E02002223,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,28114.046345,0,0,1
E02002417,E02002224,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,24490.692379,0,0,1
E02002432,E02002225,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,32449.087135,0,0,1
E02002417,E02002226,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,27641.957348,0,0,1
E02002417,E02002227,0.860904,0,0,0.191312,0,0,0,0.573936,0.095656,0,0,0,25232.697839,0,0,0.666667
E02002417,E02002228,1.052216,0,0,0,0,0,0,0.860904,0.095656,0,0.095656,0,23816.800424,0.090909,0,0.818182
E02002417,E02002230,0.573936,0,0,0.191312,0,0,0,0.382624,0,0,0,0,26412.781055,0,0,0.666667
E02002417,E02002232,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,28231.475441,0,0,1
E02002417,E02002234,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,23141.215477,0,0,1
E02002417,E02002235,0.382624,0,0,0,0,0,0,0.382624,0,0,0,0,25760.623647,0,0,1
